,file,start_time,end_time,min_cost,s_vet
0,syntpmed1.txt,2023-07-11 13:53:20.295020,2023-07-11 13:53:20.297018,107.0,"[5, 5, 5, 5, 5, 5, 7, 7, 7, 7]"
1,syntpmed2.txt,2023-07-11 13:53:20.299096,2023-07-11 13:53:20.307490,377.0,"[3, 3, 3, 3, 11, 11, 11, 11, 3, 11, 11, 11, 11, 11, 11, 11, 3, 11, 3, 11]"
2,syntpmed3.txt,2023-07-11 13:53:20.310892,2023-07-11 13:53:20.359692,1231.0,"[23, 42, 23, 42, 23, 42, 23, 23, 42, 23, 42, 42, 23, 23, 42, 23, 23, 42, 42, 23, 42, 23, 23, 23, 23, 23, 23, 42, 42, 23, 42, 23, 42, 23, 42, 42, 42, 23, 42, 42, 23, 23, 42, 42, 23, 42, 42, 23, 42, 42]"
3,syntpmed4.txt,2023-07-11 13:53:20.365008,2023-07-11 13:53:20.460338,1554.0,"[48, 3, 3, 3, 3, 3, 48, 48, 3, 3, 48, 48, 3, 48, 3, 48, 3, 3, 48, 3, 3, 48, 48, 3, 3, 3, 3, 48, 3, 3, 3, 3, 3, 3, 3, 48, 48, 48, 48, 48, 48, 48, 48, 3, 48, 48, 48, 48, 48, 48, 3, 3, 48, 48, 48, 48, 3, 48, 3, 48, 48, 48, 48, 48, 3, 3, 3, 48, 48, 3]"
4,syntpmed5.txt,2023-07-11 13:53:20.469813,2023-07-11 13:53:20.674900,2517.0,"[4, 4, 4, 4, 4, 4, 4, 4, 66, 4, 66, 66, 4, 4, 4, 4, 4, 4, 66, 66, 4, 66, 66, 4, 4, 66, 4, 66, 66, 66, 66, 4, 4, 4, 66, 4, 66, 66, 4, 4, 4, 4, 4, 66, 4, 66, 66, 4, 4, 4, 66, 4, 4, 66, 4, 4, 66, 66, 66, 4, 4, 66, 4, 4, 66, 66, 66, 4, 4, 4, 4, 66, 66, 4, 66, 66, 66, 66, 66, 4, 66, 4, 4, 66, 4, 4, 66, 66, 66, 4, 66, 66, 66, 66, 4, 66, 66, 4, 66, 4]"
5,syntpmed6.txt,2023-07-11 13:53:20.805319,2023-07-11 13:53:21.244915,4090.0,"[14, 86, 86, 14, 14, 14, 86, 14, 86, 14, 86, 14, 14, 86, 14, 86, 86, 86, 86, 14, 14, 14, 86, 14, 14, 86, 86, 14, 86, 14, 14, 86, 86, 14, 86, 14, 86, 14, 86, 86, 14, 86, 14, 86, 14, 86, 14, 14, 14, 86, 86, 86, 14, 14, 86, 14, 14, 86, 14, 14, 86, 14, 14, 86, 14, 14, 14, 86, 86, 14, 14, 14, 86, 14, 86, 86, 86, 14, 14, 14, 14, 14, 14, 86, 14, 14, 86, 86, 86, 86, 14, 86, 14, 86, 86, 14, 86, 86, 86, 14, 14, 14, 14, 14, 86, 14, 86, 14, 86, 14, 86, 86, 14, 14, 86, 86, 14, 14, 14, 14, 86, 14, 86, 14, 86, 14, 14, 14, 86, 86, 86, 14, 14, 14, 86, 14, 86, 86, 14, 86, 86, 86, 14, 86, 86, 14, 14, 86, 14, 14]"
6,syntpmed7.txt,2023-07-11 13:53:21.284793,2023-07-11 13:53:22.066211,5346.0,"[112, 112, 112, 124, 124, 112, 112, 112, 112, 112, 124, 112, 124, 112, 124, 112, 112, 112, 124, 124, 124, 124, 112, 112, 112, 124, 112, 112, 112, 112, 124, 112, 124, 124, 124, 124, 124, 112, 112, 112, 112, 112, 124, 112, 112, 112, 124, 112, 112, 124, 124, 112, 124, 112, 124, 112, 124, 124, 112, 112, 112, 112, 124, 112, 124, 112, 124, 112, 112, 124, 124, 112, 124, 124, 112, 112, 112, 124, 112, 112, 124, 112, 124, 124, 112, 112, 124, 124, 112, 112, 112, 112, 124, 124, 124, 124, 112, 112, 124, 124, 112, 124, 124, 124, 112, 112, 112, 124, 124, 124, 124, 112, 112, 112, 124, 112, 124, 112, 112, 124, 112, 124, 124, 112, 124, 124, 124, 112, 112, 124, 124, 112, 112, 124, 124, 124, 124, 124, 112, 112, 124, 112, 124, 124, 112, 112, 112, 112, 112, 124, 112, 112, 112, 124, 112, 124, 112, 124, 124, 112, 112, 124, 124, 112, 124, 112, 112, 112, 112, 112, 124, 124, 124, 112, 124, 124, 124, 124, 112, 112, 112, 124, 124, 112, 124, 112, 112, 124, 112, 112, 112, 124, 112, 124, 124, 124, 112, 112, 112, 112]"
7,syntpmed8.txt,2023-07-11 13:53:22.067734,2023-07-11 13:53:22.074226,42.0,"[6, 6, 2, 5, 4, 5, 6, 6, 8, 8]"
8,syntpmed9.txt,2023-07-11 13:53:22.075726,2023-07-11 13:53:22.107956,150.0,"[0, 3, 7, 3, 0, 10, 3, 7, 3, 3, 10, 10, 7, 0, 14, 14, 0, 0, 0, 14]"
9,syntpmed10.txt,2023-07-11 13:53:22.111430,2023-07-11 13:53:22.335878,465.0,"[25, 17, 45, 26, 26, 45, 26, 25, 25, 45, 45, 26, 45, 17, 45, 43, 26, 17, 45, 45, 45, 45, 17, 43, 43, 25, 26, 25, 43, 45, 43, 26, 17, 45, 26, 17, 25, 26, 17, 45, 25, 17, 26, 43, 26, 45, 45, 43, 43, 43]"
