,file,start_time,end_time,min_cost,s_vet
0,syntpmed1.txt,2023-07-11 15:04:27.195942,2023-07-11 15:04:27.197039,157.0,"[8, 5, 5, 5, 5, 5, 8, 8, 8, 5]"
1,syntpmed2.txt,2023-07-11 15:04:27.199324,2023-07-11 15:04:27.205605,377.0,"[3, 3, 3, 3, 11, 11, 11, 11, 3, 11, 11, 11, 11, 11, 11, 11, 3, 11, 3, 11]"
2,syntpmed3.txt,2023-07-11 15:04:27.209135,2023-07-11 15:04:27.235540,1239.0,"[33, 20, 33, 20, 20, 33, 20, 20, 33, 33, 20, 33, 20, 33, 20, 20, 20, 33, 33, 20, 20, 20, 20, 33, 20, 20, 20, 20, 33, 20, 20, 20, 20, 33, 33, 33, 33, 20, 20, 33, 33, 33, 20, 33, 20, 33, 20, 20, 20, 20]"
3,syntpmed4.txt,2023-07-11 15:04:27.240696,2023-07-11 15:04:27.292158,1554.0,"[48, 3, 3, 3, 3, 3, 48, 48, 3, 3, 48, 48, 3, 48, 3, 48, 3, 3, 48, 3, 3, 48, 48, 3, 3, 3, 3, 48, 3, 48, 3, 3, 3, 3, 3, 48, 48, 48, 48, 48, 48, 48, 48, 3, 48, 48, 48, 48, 48, 48, 3, 3, 48, 48, 48, 48, 3, 48, 3, 48, 48, 48, 48, 48, 3, 3, 3, 48, 48, 3]"
4,syntpmed5.txt,2023-07-11 15:04:27.409318,2023-07-11 15:04:27.521549,2611.0,"[85, 85, 85, 85, 85, 36, 36, 36, 36, 36, 85, 36, 36, 36, 36, 36, 85, 85, 85, 85, 85, 85, 85, 36, 85, 36, 36, 85, 85, 36, 36, 36, 36, 85, 85, 85, 36, 85, 36, 85, 85, 36, 36, 85, 85, 85, 36, 85, 85, 85, 85, 36, 85, 85, 85, 36, 36, 85, 36, 36, 85, 85, 85, 36, 36, 85, 85, 36, 36, 85, 36, 85, 36, 85, 85, 85, 36, 36, 85, 85, 36, 85, 36, 36, 85, 85, 36, 85, 85, 36, 36, 85, 36, 85, 85, 36, 85, 36, 85, 36]"
5,syntpmed6.txt,2023-07-11 15:04:27.543737,2023-07-11 15:04:27.787549,4158.0,"[30, 30, 55, 55, 30, 55, 30, 30, 30, 55, 55, 30, 55, 30, 55, 55, 30, 55, 55, 55, 30, 55, 55, 30, 30, 30, 55, 30, 55, 30, 30, 55, 55, 55, 30, 55, 55, 55, 55, 30, 55, 55, 30, 55, 30, 55, 55, 30, 55, 55, 30, 30, 55, 55, 55, 55, 55, 30, 30, 30, 55, 30, 55, 55, 30, 30, 55, 55, 30, 55, 30, 55, 55, 55, 30, 55, 55, 55, 30, 30, 30, 55, 55, 55, 30, 30, 55, 55, 55, 55, 30, 30, 55, 30, 30, 30, 55, 55, 30, 30, 30, 55, 30, 55, 30, 55, 55, 55, 30, 30, 55, 30, 30, 30, 30, 55, 30, 55, 30, 55, 30, 55, 30, 55, 55, 55, 55, 55, 30, 55, 30, 55, 30, 30, 55, 30, 55, 55, 30, 55, 55, 55, 30, 55, 30, 55, 30, 30, 30, 30]"
6,syntpmed7.txt,2023-07-11 15:04:27.828646,2023-07-11 15:04:28.270023,5342.0,"[197, 30, 30, 30, 197, 30, 30, 197, 30, 197, 197, 30, 197, 197, 197, 197, 197, 197, 30, 30, 30, 30, 30, 197, 197, 197, 30, 30, 30, 30, 30, 30, 197, 30, 197, 197, 30, 197, 197, 197, 30, 197, 30, 30, 197, 30, 197, 197, 30, 30, 197, 197, 30, 197, 197, 197, 30, 30, 197, 30, 197, 30, 197, 197, 30, 197, 197, 30, 30, 30, 197, 30, 30, 197, 30, 30, 197, 197, 30, 30, 30, 197, 30, 197, 30, 30, 30, 197, 30, 197, 197, 197, 197, 30, 30, 30, 30, 30, 30, 197, 30, 30, 197, 197, 197, 197, 30, 197, 197, 197, 30, 30, 197, 30, 30, 197, 197, 197, 30, 30, 197, 197, 197, 197, 30, 197, 30, 30, 30, 197, 197, 30, 197, 30, 197, 30, 30, 197, 30, 197, 197, 30, 197, 30, 197, 30, 197, 30, 197, 30, 197, 197, 30, 197, 30, 197, 197, 30, 30, 30, 30, 30, 197, 30, 197, 30, 30, 30, 197, 30, 197, 30, 30, 30, 197, 30, 30, 197, 30, 197, 197, 30, 30, 30, 197, 197, 197, 30, 197, 197, 30, 197, 30, 30, 197, 30, 197, 197, 197, 197]"
7,syntpmed8.txt,2023-07-11 15:04:28.271556,2023-07-11 15:04:28.274761,38.0,"[6, 6, 2, 9, 4, 9, 6, 7, 9, 9]"
8,syntpmed9.txt,2023-07-11 15:04:28.276170,2023-07-11 15:04:28.294664,151.0,"[0, 5, 5, 3, 0, 5, 3, 7, 3, 3, 5, 0, 7, 0, 14, 14, 0, 0, 0, 14]"
9,syntpmed10.txt,2023-07-11 15:04:28.298169,2023-07-11 15:04:28.431797,455.0,"[0, 11, 45, 16, 11, 7, 7, 7, 16, 45, 45, 11, 45, 11, 45, 16, 16, 11, 45, 45, 0, 45, 7, 0, 7, 0, 11, 11, 7, 45, 0, 7, 11, 16, 7, 11, 0, 0, 11, 0, 0, 11, 0, 11, 16, 45, 45, 7, 7, 0]"
