,file,start_time,end_time,min_cost,s_vet
0,syntpmed1.txt,2023-07-11 16:43:32.198781,2023-07-11 16:43:32.203543,107.0,"[5, 5, 5, 5, 5, 5, 7, 7, 7, 7]"
1,syntpmed2.txt,2023-07-11 16:43:32.204947,2023-07-11 16:43:32.219161,377.0,"[3, 3, 3, 3, 11, 11, 11, 11, 3, 11, 11, 11, 11, 11, 11, 11, 3, 11, 3, 11]"
2,syntpmed3.txt,2023-07-11 16:43:32.222919,2023-07-11 16:43:32.312749,1088.0,"[15, 15, 15, 20, 20, 20, 15, 15, 15, 20, 20, 15, 20, 15, 20, 15, 20, 15, 20, 20, 20, 20, 20, 15, 20, 15, 20, 15, 15, 20, 15, 20, 15, 15, 15, 15, 15, 20, 20, 20, 15, 15, 20, 20, 20, 15, 20, 20, 15, 20]"
3,syntpmed4.txt,2023-07-11 16:43:32.318204,2023-07-11 16:43:32.497280,1554.0,"[48, 3, 3, 3, 3, 3, 48, 48, 3, 3, 48, 48, 3, 48, 3, 48, 3, 3, 48, 3, 3, 48, 48, 3, 3, 3, 3, 48, 3, 48, 3, 3, 3, 3, 3, 48, 48, 48, 48, 48, 48, 48, 48, 3, 48, 48, 48, 48, 48, 48, 3, 3, 48, 48, 48, 48, 3, 48, 3, 48, 48, 48, 48, 48, 3, 3, 3, 48, 48, 3]"
4,syntpmed5.txt,2023-07-11 16:43:32.507882,2023-07-11 16:43:32.876119,2439.0,"[66, 66, 61, 61, 66, 61, 61, 61, 61, 61, 66, 66, 61, 66, 66, 61, 66, 61, 66, 66, 61, 66, 61, 61, 61, 66, 66, 66, 66, 61, 61, 61, 61, 61, 66, 61, 66, 66, 66, 61, 66, 61, 66, 66, 61, 66, 66, 61, 61, 61, 66, 66, 61, 66, 66, 61, 61, 66, 66, 66, 61, 61, 66, 61, 61, 61, 66, 61, 66, 61, 61, 66, 66, 61, 66, 66, 66, 61, 66, 61, 66, 66, 61, 66, 61, 66, 61, 66, 66, 61, 61, 66, 61, 66, 61, 66, 61, 61, 66, 66]"
5,syntpmed6.txt,2023-07-11 16:43:32.898391,2023-07-11 16:43:33.721047,4057.0,"[49, 49, 116, 49, 116, 116, 49, 116, 49, 116, 116, 116, 116, 49, 116, 49, 49, 116, 49, 116, 116, 49, 116, 116, 49, 116, 116, 116, 116, 49, 116, 49, 49, 116, 116, 116, 116, 49, 49, 49, 49, 116, 49, 49, 49, 116, 49, 116, 49, 49, 116, 116, 49, 49, 49, 49, 49, 116, 116, 49, 116, 49, 116, 116, 49, 116, 49, 116, 116, 49, 49, 116, 49, 116, 116, 116, 116, 116, 49, 116, 49, 116, 49, 116, 49, 49, 49, 49, 116, 49, 116, 116, 116, 116, 49, 116, 116, 49, 116, 49, 116, 49, 49, 49, 116, 116, 116, 116, 49, 49, 116, 49, 49, 116, 116, 116, 116, 116, 49, 116, 49, 49, 116, 116, 49, 49, 116, 49, 49, 49, 49, 116, 116, 49, 116, 49, 116, 116, 49, 116, 116, 49, 49, 116, 116, 116, 49, 116, 116, 116]"
6,syntpmed7.txt,2023-07-11 16:43:33.874849,2023-07-11 16:43:35.820533,5346.0,"[112, 112, 112, 124, 124, 112, 112, 112, 112, 112, 124, 112, 124, 112, 124, 112, 112, 112, 124, 124, 124, 124, 112, 112, 112, 124, 112, 112, 112, 112, 124, 112, 124, 124, 124, 124, 124, 112, 112, 112, 112, 112, 124, 112, 112, 112, 124, 112, 112, 124, 124, 112, 124, 112, 124, 112, 124, 124, 112, 112, 112, 112, 124, 112, 124, 112, 124, 112, 112, 124, 124, 112, 124, 124, 112, 112, 112, 124, 112, 112, 124, 112, 124, 124, 112, 112, 124, 124, 112, 112, 112, 112, 124, 124, 124, 124, 112, 112, 124, 124, 112, 124, 124, 124, 112, 112, 112, 124, 124, 124, 124, 112, 112, 112, 124, 112, 124, 112, 112, 124, 112, 124, 124, 112, 124, 124, 124, 112, 112, 124, 124, 112, 112, 124, 124, 124, 124, 124, 112, 112, 124, 112, 124, 124, 112, 112, 112, 112, 112, 124, 112, 112, 112, 124, 112, 124, 112, 124, 124, 112, 112, 124, 124, 112, 124, 112, 112, 112, 112, 112, 124, 124, 124, 112, 124, 124, 124, 124, 112, 112, 112, 124, 124, 112, 124, 112, 112, 124, 112, 112, 112, 124, 112, 124, 124, 124, 112, 112, 112, 112]"
7,syntpmed8.txt,2023-07-11 16:43:35.822136,2023-07-11 16:43:35.840711,42.0,"[6, 6, 2, 3, 4, 3, 6, 6, 8, 8]"
8,syntpmed9.txt,2023-07-11 16:43:35.842220,2023-07-11 16:43:35.943210,150.0,"[0, 3, 7, 3, 0, 10, 3, 7, 3, 3, 10, 10, 7, 0, 14, 14, 0, 0, 0, 14]"
9,syntpmed10.txt,2023-07-11 16:43:35.946856,2023-07-11 16:43:36.637515,431.0,"[36, 31, 26, 26, 36, 5, 26, 31, 5, 5, 31, 26, 31, 36, 5, 5, 26, 31, 31, 36, 31, 36, 5, 43, 43, 5, 26, 5, 43, 36, 43, 31, 5, 36, 26, 5, 36, 26, 43, 31, 36, 31, 26, 43, 26, 5, 36, 5, 43, 43]"
