200 15
1 2 38
1 3 29
1 4 68
1 5 75
1 6 80
1 7 75
1 8 17
1 9 99
1 10 6
1 11 93
1 12 50
1 13 72
1 14 46
1 15 67
1 16 3
1 17 52
1 18 10
1 19 84
1 20 7
1 21 44
1 22 78
1 23 52
1 24 79
1 25 9
1 26 76
1 27 67
1 28 5
1 29 34
1 30 6
1 31 88
1 32 17
1 33 92
1 34 71
1 35 24
1 36 63
1 37 14
1 38 94
1 39 15
1 40 9
1 41 24
1 42 56
1 43 95
1 44 79
1 45 85
1 46 64
1 47 94
1 48 89
1 49 84
1 50 31
1 51 83
1 52 14
1 53 55
1 54 68
1 55 45
1 56 13
1 57 61
1 58 89
1 59 41
1 60 64
1 61 15
1 62 98
1 63 70
1 64 20
1 65 14
1 66 18
1 67 69
1 68 79
1 69 90
1 70 79
1 71 91
1 72 22
1 73 31
1 74 45
1 75 30
1 76 24
1 77 100
1 78 6
1 79 33
1 80 49
1 81 13
1 82 2
1 83 96
1 84 83
1 85 12
1 86 12
1 87 28
1 88 27
1 89 32
1 90 95
1 91 56
1 92 15
1 93 11
1 94 93
1 95 86
1 96 78
1 97 96
1 98 90
1 99 39
1 100 25
1 101 41
1 102 70
1 103 5
1 104 53
1 105 5
1 106 22
1 107 12
1 108 58
1 109 85
1 110 89
1 111 92
1 112 88
1 113 18
1 114 61
1 115 88
1 116 28
1 117 78
1 118 99
1 119 32
1 120 49
1 121 9
1 122 81
1 123 98
1 124 51
1 125 38
1 126 76
1 127 36
1 128 12
1 129 100
1 130 25
1 131 46
1 132 10
1 133 9
1 134 64
1 135 0
1 136 7
1 137 91
1 138 94
1 139 20
1 140 19
1 141 53
1 142 65
1 143 65
1 144 60
1 145 29
1 146 57
1 147 0
1 148 6
1 149 54
1 150 32
1 151 76
1 152 75
1 153 81
1 154 28
1 155 100
1 156 98
1 157 51
1 158 89
1 159 58
1 160 29
1 161 22
1 162 85
1 163 97
1 164 3
1 165 33
1 166 78
1 167 86
1 168 55
1 169 17
1 170 34
1 171 37
1 172 45
1 173 23
1 174 89
1 175 7
1 176 57
1 177 47
1 178 56
1 179 34
1 180 100
1 181 19
1 182 90
1 183 8
1 184 43
1 185 55
1 186 49
1 187 54
1 188 25
1 189 67
1 190 65
1 191 7
1 192 73
1 193 9
1 194 58
1 195 79
